ايالاتمتحده :  ايالات متحده  
وياظهارداشت :  ويا ظهارداشت  
حرامكردهاست :  خطا 
سحرگاهديروز :  سحرگاه ديروز  
دكترروزنفلد :  خطا 
استوارتپيرس :  استوارت پيرس  
صحافيوتكثير :  خطا 
نابوديمراتع :  نابوديم رات ع  
داستاننوشتن :  داستان نوشتن  
كهعبارتنداز :  خطا 
انواعپودرها :  انواع پودرها  
پيروزيتهران :  پيروزيت هران  
انواعدانهها :  انواع دانه ها  
زبانانگليسي :  زبانان گليس ي  
تجزيهوتحليل :  تجزيه وتحليل  
صناميكگيمها :  خطا 
انواعگياهان :  انواع گياهان  
خيابانشكوفه :  خطا 
گالريگلستان :  گالري گلستان  
هزينهشدهاست :  هزينه شدهاست  
فرانسهوهلند :  فرانسه وهلند  
سرويسادبوهنر :  سرويس ادبوهنر  
سالناجتماعات :  سالن اجتماعات  
ميوهجاتوگلها :  ميوه جاتو گلها  
جادهاستوكوير :  خطا 
انفراديمردان :  انفرادي مردان  
اعلامكردهاست :  خطا 
خيابانقيطريه :  خيابان قيطريه  
نيماخيرانديش :  نيما خيرانديش  
فرهنگسرايشفق :  فرهنگسراي شفق  
خيابانانقلاب :  خيابان انقلاب  
اسپانيايياست :  اسپانيايي است  
خيابانشمشيري :  خيابانش مشيري  
بهگفتهجنينگز :  به گفته جنينگز  
بهرنگسبزتيره :  بهرنگ سبزتيره  
كرواسييكگلها :  خطا 
نيرويانتظامي :  نيرويا نتظامي  
سرويساجتماعي :  سرويس اجتماعي  
سرويساقتصادي :  سرويس اقتصادي  
استانكردستان :  خطا 
صبحبخيرايران :  صبح بخير ايران  
واحدمركزيخبر :  خطا 
صبجبخيرايران :  صبج بخير ايران  
خاكسبكومتخلخل :  خطا 
خبرنگارهمشهري :  خبرنگارهمشهري  
برگزارخواهدشد :  برگزارخواهدشد  
كلينتونميگويد :  خطا 
حمزهعليقوجالي :  حمزه عليق وجا لي  
چونكارينداشتم :  خطا 
خانهدوستكجاست :  خطا 
غيربهداشتياست :  غيربهداشتي است  
استسرويسسياسي :  استس رويس سياسي  
برايخانوادهها :  براي خانواده ها  
گوسفندوبزوحشي :  گوسفندو بزوحشي  
باباخانمراداف :  باباخان مراداف  
موستليدهراسته :  موستليده راسته  
عمرانيكشاورزي :  خطا 
تلويزيونكابلي :  خطا 
معاوننتانياهو :  معاون نتانياهو  
ازاولهفتهجاري :  ازاول هفته جاري  
لوازمالكتريكي :  خطا 
طولبدنازسرتادم :  طول بدن ازسرتادم  
راهپيماييكردند :  خطا 
سرويسشهرستانها :  سرويسش هرستان ها  
سازندگييكوظيفه :  خطا 
براساساينگزارش :  براساسا ينگ زارش  
دريكسخنرانيخود :  خطا 
بخشپايانياشاره :  بخش پاياني اشاره  
معاملاتدربازار :  معاملات دربازار  
فرمانامپراتوري :  فرمان امپراتوري  
يكشكارچيحرفهاي :  خطا 
سياهظاهرميشوند :  سياه ظاهرمي شوند  
خبرگزاريفرانسه :  خبرگزاري فرانسه  
ودراينديارهستي :  ودراين ديارهستي  
محيطزيستكودكان :  خطا 
پلروگذرجادهكرج :  خطا 
پلياكريلاصفهان :  خطا 
هورناكازچكوهلمر :  خطا 
دواتوبوسمسافربر :  دوات وبو سمس افر بر  
تلفاتايدزدرجهان :  تلفات ايدزدر جهان  
جنگلهايكوهستاني :  خطا 
سرويسعمليفرهنگي :  سرويس عملي فرهنگي  
سرويسعلميفرهنگي :  سرويس علميفرهنگي  
چندنفرمجروحشدند :  چندنفر مجروحش دند  
خياباندكترفاطمي :  خطا 
رنگبرچهرهندارند :  رنگبر چهره ندارند  
بهگفتهرانندهقطار :  به گفته راننده قطار  
درمياناينسهعبارت :  درميان اينسه عبارت  
اينمجموعهترافيكي :  خطا 
شهردارياردبيلصفر :  شهرداريا ردبي ل صفر  
پاركبعثتديدنكنند :  خطا 
يكمنبعفلسطينيگفت :  خطا 
استقبالتماشاگران :  استقبالت ماشا گران  
روبرويباشگاهپيام :  روبروي باشگاه پيام  
ماشينسازيتبريزيك :  خطا 
مهردادامينشيرازي :  مهرداد امينش يرا زي  
امتحانزبانفرانسه :  امتحان زبان فرانسه  
خاكدارايزهكشيخوب :  خطا 
بنيانگذاراينكشور :  خطا 
واردشهرطويلدرهشد :  واردشهر طويل دره شد  
باايجادفضايموجود :  باايجاد فضاي موجود  
توفاندرمركزاروپا :  خطا 
بهگزارشخبرنگارما :  به گزارش خبرنگارما  
درجهسانتيگراداست :  درجهسانتيگراد است  
پسازچندساعتجستجو :  پساز چندساعت جستجو  
مقاومتخراسانوپاس :  مقاومت خراسان وپاس  
وزيرنيرواعلامكرد :  خطا 
ژانوپينوازپرتقال :  ژانوپينو ازپرتقال  
درتاريخثبتشدهاست :  درتاريخ ثبتش دها ست  
